Date_Time;Object;Temperature
06.04.2023 10:59;Air;"9,7"
06.04.2023 11:04;Air;"9,8"
06.04.2023 11:09;Air;"9,9"
06.04.2023 11:14;Air;10
06.04.2023 11:19;Air;"10,1"
06.04.2023 11:24;Air;"10,1"
06.04.2023 11:29;Air;10
06.04.2023 11:34;Air;10
06.04.2023 11:39;Air;"9,9"
06.04.2023 11:44;Air;"9,8"
06.04.2023 11:49;Air;"9,8"
06.04.2023 11:54;Air;"9,8"
06.04.2023 11:59;Air;"9,8"
06.04.2023 12:04;Air;"9,7"
06.04.2023 12:09;Air;"9,8"
06.04.2023 12:14;Air;"9,8"
06.04.2023 12:19;Air;"9,8"
06.04.2023 12:24;Air;"9,9"
06.04.2023 12:29;Air;10
06.04.2023 12:34;Air;"10,1"
06.04.2023 12:39;Air;"10,2"
06.04.2023 12:44;Air;"10,3"
06.04.2023 12:49;Air;"10,4"
06.04.2023 12:54;Air;"10,5"
06.04.2023 12:59;Air;"10,5"
06.04.2023 13:04;Air;"10,5"
06.04.2023 13:09;Air;"10,5"
06.04.2023 13:14;Air;"10,5"
06.04.2023 13:19;Air;"10,6"
06.04.2023 13:24;Air;"10,6"
06.04.2023 13:29;Air;"10,6"
06.04.2023 13:34;Air;"10,7"
06.04.2023 13:39;Air;"10,7"
06.04.2023 13:44;Air;"10,7"
06.04.2023 13:49;Air;"10,8"
06.04.2023 13:54;Air;11
06.04.2023 13:59;Air;"11,1"
06.04.2023 14:04;Air;"11,1"
06.04.2023 14:09;Air;"11,3"
06.04.2023 14:14;Air;"11,3"
06.04.2023 14:19;Air;"11,4"
06.04.2023 14:24;Air;"11,4"
06.04.2023 14:29;Air;"11,4"
06.04.2023 14:34;Air;"11,4"
06.04.2023 14:39;Air;"11,4"
06.04.2023 14:44;Air;"11,4"
06.04.2023 14:49;Air;"11,4"
06.04.2023 14:54;Air;"11,4"
06.04.2023 14:59;Air;"11,5"
06.04.2023 15:04;Air;"11,5"
06.04.2023 15:09;Air;"11,6"
06.04.2023 15:14;Air;"11,7"
06.04.2023 15:19;Air;"11,8"
06.04.2023 15:24;Air;"11,8"
06.04.2023 15:29;Air;"11,9"
06.04.2023 15:34;Air;"11,9"
06.04.2023 15:39;Air;12
06.04.2023 15:44;Air;12
06.04.2023 15:49;Air;12
06.04.2023 15:54;Air;12
06.04.2023 15:59;Air;12
06.04.2023 16:04;Air;12
06.04.2023 16:09;Air;"11,9"
06.04.2023 16:14;Air;"11,8"
06.04.2023 16:19;Air;"11,8"
06.04.2023 16:24;Air;"11,6"
06.04.2023 16:29;Air;"11,5"
06.04.2023 16:34;Air;"11,4"
06.04.2023 16:39;Air;"11,3"
06.04.2023 16:44;Air;"11,2"
06.04.2023 16:49;Air;"11,1"
06.04.2023 16:54;Air;11
06.04.2023 16:59;Air;11
06.04.2023 17:04;Air;"10,8"
06.04.2023 17:09;Air;"10,8"
06.04.2023 17:14;Air;"10,8"
06.04.2023 17:19;Air;"10,8"
06.04.2023 17:24;Air;"10,7"
06.04.2023 17:29;Air;"10,6"
06.04.2023 17:34;Air;"10,6"
06.04.2023 17:39;Air;"10,6"
06.04.2023 17:44;Air;"10,6"
06.04.2023 17:49;Air;"10,6"
06.04.2023 17:54;Air;"10,5"
06.04.2023 17:59;Air;"10,4"
06.04.2023 18:04;Air;"10,4"
06.04.2023 18:09;Air;"10,3"
06.04.2023 18:14;Air;"10,3"
06.04.2023 18:19;Air;"10,1"
06.04.2023 18:24;Air;"10,1"
06.04.2023 18:29;Air;10
06.04.2023 18:34;Air;10
06.04.2023 18:39;Air;10
06.04.2023 18:44;Air;10
06.04.2023 18:49;Air;"9,9"
06.04.2023 18:54;Air;"9,9"
06.04.2023 18:59;Air;"9,9"
06.04.2023 19:04;Air;"9,9"
06.04.2023 19:09;Air;"9,9"
06.04.2023 19:14;Air;"9,9"
06.04.2023 19:19;Air;"9,9"
06.04.2023 19:24;Air;"9,8"
06.04.2023 19:29;Air;"9,8"
06.04.2023 19:34;Air;"9,8"
06.04.2023 19:39;Air;"9,7"
06.04.2023 19:44;Air;"9,7"
06.04.2023 19:49;Air;"9,7"
06.04.2023 19:54;Air;"9,7"
06.04.2023 19:59;Air;"9,7"
06.04.2023 20:04;Air;"9,8"
06.04.2023 20:09;Air;"9,9"
06.04.2023 20:14;Air;"10,1"
06.04.2023 20:19;Air;"10,2"
06.04.2023 20:24;Air;"10,3"
06.04.2023 20:29;Air;"10,3"
06.04.2023 20:34;Air;"10,5"
06.04.2023 20:39;Air;"10,7"
06.04.2023 20:44;Air;"10,8"
06.04.2023 20:49;Air;"10,9"
06.04.2023 20:54;Air;"10,9"
06.04.2023 20:59;Air;"10,9"
06.04.2023 21:04;Air;"10,8"
06.04.2023 21:09;Air;"10,6"
06.04.2023 21:14;Air;"10,5"
06.04.2023 21:19;Air;"10,5"
06.04.2023 21:24;Air;"10,3"
06.04.2023 21:29;Air;"10,3"
06.04.2023 21:34;Air;"10,1"
06.04.2023 21:39;Air;"10,1"
06.04.2023 21:44;Air;10
06.04.2023 21:49;Air;"9,9"
06.04.2023 21:54;Air;"9,8"
06.04.2023 21:59;Air;"9,7"
06.04.2023 22:04;Air;"9,7"
06.04.2023 22:09;Air;"9,6"
06.04.2023 22:14;Air;"9,6"
06.04.2023 22:19;Air;"9,5"
06.04.2023 22:24;Air;"9,4"
06.04.2023 22:29;Air;"9,3"
06.04.2023 22:34;Air;"9,2"
06.04.2023 22:39;Air;9
06.04.2023 22:44;Air;"8,8"
06.04.2023 22:49;Air;"8,7"
06.04.2023 22:54;Air;"8,5"
06.04.2023 22:59;Air;"8,3"
06.04.2023 23:04;Air;"8,2"
06.04.2023 23:09;Air;"8,1"
06.04.2023 23:14;Air;8
06.04.2023 23:19;Air;"7,8"
06.04.2023 23:24;Air;"7,8"
06.04.2023 23:29;Air;"7,7"
06.04.2023 23:34;Air;"7,6"
06.04.2023 23:39;Air;"7,6"
06.04.2023 23:44;Air;"7,5"
06.04.2023 23:49;Air;"7,5"
06.04.2023 23:54;Air;"7,3"
06.04.2023 23:59;Air;"7,3"
06.05.2023 0:04;Air;"7,2"
06.05.2023 0:09;Air;"7,1"
06.05.2023 0:14;Air;"7,1"
06.05.2023 0:19;Air;7
06.05.2023 0:24;Air;"6,9"
06.05.2023 0:29;Air;"6,9"
06.05.2023 0:34;Air;"6,8"
06.05.2023 0:39;Air;"6,7"
06.05.2023 0:44;Air;"6,6"
06.05.2023 0:49;Air;"6,6"
06.05.2023 0:54;Air;"6,5"
06.05.2023 0:59;Air;"6,5"
06.05.2023 1:04;Air;"6,4"
06.05.2023 1:09;Air;"6,3"
06.05.2023 1:14;Air;"6,3"
06.05.2023 1:19;Air;"6,2"
06.05.2023 1:24;Air;"6,2"
06.05.2023 1:29;Air;"6,1"
06.05.2023 1:34;Air;"6,1"
06.05.2023 1:39;Air;6
06.05.2023 1:44;Air;6
06.05.2023 1:49;Air;"5,9"
06.05.2023 1:54;Air;"5,8"
06.05.2023 1:59;Air;"5,8"
06.05.2023 2:04;Air;"5,8"
06.05.2023 2:09;Air;"5,8"
06.05.2023 2:14;Air;"5,7"
06.05.2023 2:19;Air;"5,7"
06.05.2023 2:24;Air;"5,7"
06.05.2023 2:29;Air;"5,6"
06.05.2023 2:34;Air;"5,6"
06.05.2023 2:39;Air;"5,6"
06.05.2023 2:44;Air;"5,5"
06.05.2023 2:49;Air;"5,5"
06.05.2023 2:54;Air;"5,5"
06.05.2023 2:59;Air;"5,5"
06.05.2023 3:04;Air;"5,5"
06.05.2023 3:09;Air;"5,5"
06.05.2023 3:14;Air;"5,5"
06.05.2023 3:19;Air;"5,5"
06.05.2023 3:24;Air;"5,5"
06.05.2023 3:29;Air;"5,5"
06.05.2023 3:34;Air;"5,5"
06.05.2023 3:39;Air;"5,5"
06.05.2023 3:44;Air;"5,5"
06.05.2023 3:49;Air;"5,5"
06.05.2023 3:54;Air;"5,5"
06.05.2023 3:59;Air;"5,5"
06.05.2023 4:04;Air;"5,6"
06.05.2023 4:09;Air;"5,6"
06.05.2023 4:14;Air;"5,6"
06.05.2023 4:19;Air;"5,6"
06.05.2023 4:24;Air;"5,7"
06.05.2023 4:29;Air;"5,7"
06.05.2023 4:34;Air;"5,7"
06.05.2023 4:39;Air;"5,7"
06.05.2023 4:44;Air;"5,7"
06.05.2023 4:49;Air;"5,7"
06.05.2023 4:54;Air;"5,7"
06.05.2023 4:59;Air;"5,8"
06.05.2023 5:04;Air;"5,9"
06.05.2023 5:09;Air;"5,9"
06.05.2023 5:14;Air;"5,9"
06.05.2023 5:19;Air;6
06.05.2023 5:24;Air;6
06.05.2023 5:29;Air;6
06.05.2023 5:34;Air;6
06.05.2023 5:39;Air;"6,1"
06.05.2023 5:44;Air;"6,1"
06.05.2023 5:49;Air;"6,2"
06.05.2023 5:54;Air;"6,2"
06.05.2023 5:59;Air;"6,2"
06.05.2023 6:04;Air;"6,2"
06.05.2023 6:09;Air;"6,2"
06.05.2023 6:14;Air;"6,2"
06.05.2023 6:19;Air;"6,3"
06.05.2023 6:24;Air;"6,3"
06.05.2023 6:29;Air;"6,3"
06.05.2023 6:34;Air;"6,3"
06.05.2023 6:39;Air;"6,3"
06.05.2023 6:44;Air;"6,3"
06.05.2023 6:49;Air;"6,2"
06.05.2023 6:54;Air;"6,3"
06.05.2023 6:59;Air;"6,2"
06.05.2023 7:04;Air;"6,3"
06.05.2023 7:09;Air;"6,3"
06.05.2023 7:14;Air;"6,3"
06.05.2023 7:19;Air;"6,3"
06.05.2023 7:24;Air;"6,3"
06.05.2023 7:29;Air;"6,4"
06.05.2023 7:34;Air;"6,4"
06.05.2023 7:39;Air;"6,5"
06.05.2023 7:44;Air;"6,5"
06.05.2023 7:49;Air;"6,6"
06.05.2023 7:54;Air;"6,6"
06.05.2023 7:59;Air;"6,6"
06.05.2023 8:04;Air;"6,7"
06.05.2023 8:09;Air;"6,8"
06.05.2023 8:14;Air;"6,9"
06.05.2023 8:19;Air;7
06.05.2023 8:24;Air;7
06.05.2023 8:29;Air;7
06.05.2023 8:34;Air;"7,1"
06.05.2023 8:39;Air;"7,2"
06.05.2023 8:44;Air;"7,3"
06.05.2023 8:49;Air;"7,3"
06.05.2023 8:54;Air;"7,4"
06.05.2023 8:59;Air;"7,5"
06.05.2023 9:04;Air;"7,5"
06.05.2023 9:09;Air;"7,6"
06.05.2023 9:14;Air;"7,8"
06.05.2023 9:19;Air;"7,8"
06.05.2023 9:24;Air;"7,9"
06.05.2023 9:29;Air;8
06.05.2023 9:34;Air;"8,1"
06.05.2023 9:39;Air;"8,2"
06.05.2023 9:44;Air;"8,3"
06.05.2023 9:49;Air;"8,3"
06.05.2023 9:54;Air;"8,4"
06.05.2023 9:59;Air;"8,4"
06.05.2023 10:04;Air;"8,5"
06.05.2023 10:09;Air;"8,6"
06.05.2023 10:14;Air;"8,6"
06.05.2023 10:19;Air;"8,7"
06.05.2023 10:24;Air;"8,8"
06.05.2023 10:29;Air;"8,8"
06.05.2023 10:34;Air;"8,9"
06.05.2023 10:39;Air;"8,9"
06.05.2023 10:44;Air;9
06.05.2023 10:49;Air;9
06.05.2023 10:54;Air;9
06.05.2023 10:59;Air;"9,1"
06.05.2023 11:04;Air;"9,2"
06.05.2023 11:09;Air;"9,2"
06.05.2023 11:14;Air;"9,2"
06.05.2023 11:19;Air;"9,2"
06.05.2023 11:24;Air;"9,2"
06.05.2023 11:29;Air;"9,2"
06.05.2023 11:34;Air;"9,2"
06.05.2023 11:39;Air;"9,2"
06.05.2023 11:44;Air;"9,2"
06.05.2023 11:49;Air;"9,3"
06.05.2023 11:54;Air;"9,4"
06.05.2023 11:59;Air;"9,5"
06.05.2023 12:04;Air;"9,5"
06.05.2023 12:09;Air;"9,6"
06.05.2023 12:14;Air;"9,7"
06.05.2023 12:19;Air;"9,7"
06.05.2023 12:24;Air;"9,8"
06.05.2023 12:29;Air;"9,9"
06.05.2023 12:34;Air;10
06.05.2023 12:39;Air;"10,1"
06.05.2023 12:44;Air;"10,2"
06.05.2023 12:49;Air;"10,3"
06.05.2023 12:54;Air;"10,4"
06.05.2023 12:59;Air;"10,5"
06.05.2023 13:04;Air;"10,6"
06.05.2023 13:09;Air;"10,6"
06.05.2023 13:14;Air;"10,8"
06.05.2023 13:19;Air;"10,9"
06.05.2023 13:24;Air;11
06.05.2023 13:29;Air;"11,1"
06.05.2023 13:34;Air;"11,1"
06.05.2023 13:39;Air;"11,1"
06.05.2023 13:44;Air;"11,1"
06.05.2023 13:49;Air;"11,1"
06.05.2023 13:54;Air;"11,1"
06.05.2023 13:59;Air;"11,1"
06.05.2023 14:04;Air;"11,1"
06.05.2023 14:09;Air;"11,1"
06.05.2023 14:14;Air;"11,1"
06.05.2023 14:19;Air;11
06.05.2023 14:24;Air;11
06.05.2023 14:29;Air;11
06.05.2023 14:34;Air;11
06.05.2023 14:39;Air;11
06.05.2023 14:44;Air;11
06.05.2023 14:49;Air;11
06.05.2023 14:54;Air;11
06.05.2023 14:59;Air;"11,1"
06.05.2023 15:04;Air;"11,1"
06.05.2023 15:09;Air;"11,1"
06.05.2023 15:14;Air;"11,1"
06.05.2023 15:19;Air;"11,1"
06.05.2023 15:24;Air;11
06.05.2023 15:29;Air;11
06.05.2023 15:34;Air;11
06.05.2023 15:39;Air;11
06.05.2023 15:44;Air;11
06.05.2023 15:49;Air;11
06.05.2023 15:54;Air;"10,9"
06.05.2023 15:59;Air;"10,9"
06.05.2023 16:04;Air;"10,9"
06.05.2023 16:09;Air;"10,8"
06.05.2023 16:14;Air;"10,6"
06.05.2023 16:19;Air;"10,6"
06.05.2023 16:24;Air;"10,6"
06.05.2023 16:29;Air;"10,5"
06.05.2023 16:34;Air;"10,4"
06.05.2023 16:39;Air;"10,4"
06.05.2023 16:44;Air;"10,4"
06.05.2023 16:49;Air;"10,3"
06.05.2023 16:54;Air;"10,1"
06.05.2023 16:59;Air;10
06.05.2023 17:04;Air;"9,9"
06.05.2023 17:09;Air;"9,8"
06.05.2023 17:14;Air;"9,7"
06.05.2023 17:19;Air;"9,6"
06.05.2023 17:24;Air;"9,4"
06.05.2023 17:29;Air;"9,3"
06.05.2023 17:34;Air;"9,2"
06.05.2023 17:39;Air;"9,1"
06.05.2023 17:44;Air;"9,1"
06.05.2023 17:49;Air;9
06.05.2023 17:54;Air;9
06.05.2023 17:59;Air;"9,1"
06.05.2023 18:04;Air;"9,1"
06.05.2023 18:09;Air;"9,1"
06.05.2023 18:14;Air;"9,1"
06.05.2023 18:19;Air;"9,2"
06.05.2023 18:24;Air;"9,2"
06.05.2023 18:29;Air;"9,2"
06.05.2023 18:34;Air;"9,2"
06.05.2023 18:39;Air;"9,1"
06.05.2023 18:44;Air;9
06.05.2023 18:49;Air;9
06.05.2023 18:54;Air;9
06.05.2023 18:59;Air;"8,9"
06.05.2023 19:04;Air;"8,8"
06.05.2023 19:09;Air;"8,7"
06.05.2023 19:14;Air;"8,7"
06.05.2023 19:19;Air;"8,6"
06.05.2023 19:24;Air;"8,6"
06.05.2023 19:29;Air;"8,6"
06.05.2023 19:34;Air;"8,6"
06.05.2023 19:39;Air;"8,6"
06.05.2023 19:44;Air;"8,6"
06.05.2023 19:49;Air;"8,6"
06.05.2023 19:54;Air;"8,6"
06.05.2023 19:59;Air;"8,7"
06.05.2023 20:04;Air;"8,8"
06.05.2023 20:09;Air;"8,9"
06.05.2023 20:14;Air;9
06.05.2023 20:19;Air;"9,1"
06.05.2023 20:24;Air;"9,2"
06.05.2023 20:29;Air;"9,3"
06.05.2023 20:34;Air;"9,4"
06.05.2023 20:39;Air;"9,4"
06.05.2023 20:44;Air;"9,4"
06.05.2023 20:49;Air;"9,4"
06.05.2023 20:54;Air;"9,5"
06.05.2023 20:59;Air;"9,4"
06.05.2023 21:04;Air;"9,5"
06.05.2023 21:09;Air;"9,8"
06.05.2023 21:14;Air;"10,1"
06.05.2023 21:19;Air;"9,9"
06.05.2023 21:24;Air;"9,7"
06.05.2023 21:29;Air;"9,4"
06.05.2023 21:34;Air;"9,3"
06.05.2023 21:39;Air;"9,2"
06.05.2023 21:44;Air;9
06.05.2023 21:49;Air;"8,9"
06.05.2023 21:54;Air;"8,8"
06.05.2023 21:59;Air;"8,8"
06.05.2023 22:04;Air;"8,8"
06.05.2023 22:09;Air;"8,7"
06.05.2023 22:14;Air;"8,6"
06.05.2023 22:19;Air;"8,6"
06.05.2023 22:24;Air;"8,6"
06.05.2023 22:29;Air;"8,6"
06.05.2023 22:34;Air;"8,5"
06.05.2023 22:39;Air;"8,4"
06.05.2023 22:44;Air;"8,3"
06.05.2023 22:49;Air;"8,2"
06.05.2023 22:54;Air;"8,1"
06.05.2023 22:59;Air;8
06.05.2023 23:04;Air;"7,9"
06.05.2023 23:09;Air;"7,8"
06.05.2023 23:14;Air;"7,7"
06.05.2023 23:19;Air;"7,6"
06.05.2023 23:24;Air;"7,6"
06.05.2023 23:29;Air;"7,5"
06.05.2023 23:34;Air;"7,4"
06.05.2023 23:39;Air;"7,4"
06.05.2023 23:44;Air;"7,3"
06.05.2023 23:49;Air;"7,3"
06.05.2023 23:54;Air;"7,2"
06.05.2023 23:59;Air;"7,2"
06.06.2023 0:04;Air;"7,1"
06.06.2023 0:09;Air;"7,1"
06.06.2023 0:14;Air;7
06.06.2023 0:19;Air;7
06.06.2023 0:24;Air;"6,9"
06.06.2023 0:29;Air;"6,8"
06.06.2023 0:34;Air;"6,8"
06.06.2023 0:39;Air;"6,8"
06.06.2023 0:44;Air;"6,8"
06.06.2023 0:49;Air;"6,9"
06.06.2023 0:54;Air;"6,9"
06.06.2023 0:59;Air;7
06.06.2023 1:04;Air;7
06.06.2023 1:09;Air;"6,9"
06.06.2023 1:14;Air;"6,9"
06.06.2023 1:19;Air;"6,9"
06.06.2023 1:24;Air;"6,9"
06.06.2023 1:29;Air;"6,9"
06.06.2023 1:34;Air;"6,8"
06.06.2023 1:39;Air;"6,8"
06.06.2023 1:44;Air;"6,8"
06.06.2023 1:49;Air;"6,8"
06.06.2023 1:54;Air;"6,8"
06.06.2023 1:59;Air;"6,8"
06.06.2023 2:04;Air;"6,7"
06.06.2023 2:09;Air;"6,7"
06.06.2023 2:14;Air;"6,7"
06.06.2023 2:19;Air;"6,7"
06.06.2023 2:24;Air;"6,7"
06.06.2023 2:29;Air;"6,7"
06.06.2023 2:34;Air;"6,7"
06.06.2023 2:39;Air;"6,7"
06.06.2023 2:44;Air;"6,7"
06.06.2023 2:49;Air;"6,6"
06.06.2023 2:54;Air;"6,6"
06.06.2023 2:59;Air;"6,6"
06.06.2023 3:04;Air;"6,5"
06.06.2023 3:09;Air;"6,5"
06.06.2023 3:14;Air;"6,5"
06.06.2023 3:19;Air;"6,5"
06.06.2023 3:24;Air;"6,4"
06.06.2023 3:29;Air;"6,3"
06.06.2023 3:34;Air;"6,3"
06.06.2023 3:39;Air;"6,2"
06.06.2023 3:44;Air;"6,2"
06.06.2023 3:49;Air;"6,1"
06.06.2023 3:54;Air;"6,1"
06.06.2023 3:59;Air;"6,1"
06.06.2023 4:04;Air;6
06.06.2023 4:09;Air;"5,9"
06.06.2023 4:14;Air;"5,8"
06.06.2023 4:19;Air;"5,8"
06.06.2023 4:24;Air;"5,7"
06.06.2023 4:29;Air;"5,7"
06.06.2023 4:34;Air;"5,6"
06.06.2023 4:39;Air;"5,6"
06.06.2023 4:44;Air;"5,6"
06.06.2023 4:49;Air;"5,5"
06.06.2023 4:54;Air;"5,5"
06.06.2023 4:59;Air;"5,5"
06.06.2023 5:04;Air;"5,4"
06.06.2023 5:09;Air;"5,4"
06.06.2023 5:14;Air;"5,4"
06.06.2023 5:19;Air;"5,3"
06.06.2023 5:24;Air;"5,3"
06.06.2023 5:29;Air;"5,3"
06.06.2023 5:34;Air;"5,3"
06.06.2023 5:39;Air;"5,3"
06.06.2023 5:44;Air;"5,3"
06.06.2023 5:49;Air;"5,3"
06.06.2023 5:54;Air;"5,3"
06.06.2023 5:59;Air;"5,3"
06.06.2023 6:04;Air;"5,3"
06.06.2023 6:09;Air;"5,3"
06.06.2023 6:14;Air;"5,3"
06.06.2023 6:19;Air;"5,3"
06.06.2023 6:24;Air;"5,3"
06.06.2023 6:29;Air;"5,3"
06.06.2023 6:34;Air;"5,4"
06.06.2023 6:39;Air;"5,4"
06.06.2023 6:44;Air;"5,4"
06.06.2023 6:49;Air;"5,4"
06.06.2023 6:54;Air;"5,4"
06.06.2023 6:59;Air;"5,4"
06.06.2023 7:04;Air;"5,4"
06.06.2023 7:09;Air;"5,5"
06.06.2023 7:14;Air;"5,5"
06.06.2023 7:19;Air;"5,6"
06.06.2023 7:24;Air;"5,6"
06.06.2023 7:29;Air;"5,7"
06.06.2023 7:34;Air;"5,7"
06.06.2023 7:39;Air;"5,7"
06.06.2023 7:44;Air;"5,7"
06.06.2023 7:49;Air;"5,8"
06.06.2023 7:54;Air;"5,8"
06.06.2023 7:59;Air;"5,8"
06.06.2023 8:04;Air;"5,8"
06.06.2023 8:09;Air;"5,9"
06.06.2023 8:14;Air;"5,9"
06.06.2023 8:19;Air;"5,9"
06.06.2023 8:24;Air;"5,9"
06.06.2023 8:29;Air;6
06.06.2023 8:34;Air;6
06.06.2023 8:39;Air;6
06.06.2023 8:44;Air;6
06.06.2023 8:49;Air;"6,1"
06.06.2023 8:54;Air;"6,1"
06.06.2023 8:59;Air;6
06.06.2023 9:04;Air;6
06.06.2023 9:09;Air;"6,1"
06.06.2023 9:14;Air;"6,1"
06.06.2023 9:19;Air;"6,2"
06.06.2023 9:24;Air;"6,2"
06.06.2023 9:29;Air;"6,3"
06.06.2023 9:34;Air;"6,3"
06.06.2023 9:39;Air;"6,3"
06.06.2023 9:44;Air;"6,3"
06.06.2023 9:49;Air;"6,5"
06.06.2023 9:54;Air;"6,5"
06.06.2023 9:59;Air;"6,5"
06.06.2023 10:04;Air;"6,5"
06.06.2023 10:09;Air;"6,5"
06.06.2023 10:14;Air;"6,5"
06.06.2023 10:19;Air;"6,5"
06.06.2023 10:24;Air;"6,5"
06.06.2023 10:29;Air;"6,6"
06.06.2023 10:34;Air;"6,5"
06.06.2023 10:39;Air;"6,5"
06.06.2023 10:44;Air;"6,5"
06.06.2023 10:49;Air;"6,5"
06.06.2023 10:54;Air;"6,5"
06.06.2023 10:59;Air;"6,5"
06.06.2023 11:04;Air;"6,5"
06.06.2023 11:09;Air;"6,6"
06.06.2023 11:14;Air;"6,6"
06.06.2023 11:19;Air;"6,7"
06.06.2023 11:24;Air;"6,7"
06.06.2023 11:29;Air;"6,7"
06.06.2023 11:34;Air;"6,5"
06.06.2023 11:39;Air;"6,4"
06.06.2023 11:44;Air;"6,3"
06.06.2023 11:49;Air;"6,2"
06.06.2023 11:54;Air;"6,3"
06.06.2023 11:59;Air;"6,3"
06.06.2023 12:04;Air;"6,4"
06.06.2023 12:09;Air;"6,4"
06.06.2023 12:14;Air;"6,6"
06.06.2023 12:19;Air;"6,6"
06.06.2023 12:24;Air;"6,6"
06.06.2023 12:29;Air;"6,5"
06.06.2023 12:34;Air;"6,5"
06.06.2023 12:39;Air;"6,5"
06.06.2023 12:44;Air;"6,5"
06.06.2023 12:49;Air;"6,6"
06.06.2023 12:54;Air;"6,7"
06.06.2023 12:59;Air;"6,8"
06.06.2023 13:04;Air;7
06.06.2023 13:09;Air;7
06.06.2023 13:14;Air;7
06.06.2023 13:19;Air;7
06.06.2023 13:24;Air;7
06.06.2023 13:29;Air;7
06.06.2023 13:34;Air;"6,9"
06.06.2023 13:39;Air;"6,9"
06.06.2023 13:44;Air;"6,9"
06.06.2023 13:49;Air;"6,9"
06.06.2023 13:54;Air;"6,9"
06.06.2023 13:59;Air;7
06.06.2023 14:04;Air;"7,2"
06.06.2023 14:09;Air;"7,6"
06.06.2023 14:14;Air;"7,8"
06.06.2023 14:19;Air;8
06.06.2023 14:24;Air;8
06.06.2023 14:29;Air;8
06.06.2023 14:34;Air;8
06.06.2023 14:39;Air;8
06.06.2023 14:44;Air;"8,1"
06.06.2023 14:49;Air;"8,1"
06.06.2023 14:54;Air;"8,1"
06.06.2023 14:59;Air;8
06.06.2023 15:04;Air;8
06.06.2023 15:09;Air;8
06.06.2023 15:14;Air;8
06.06.2023 15:19;Air;8
06.06.2023 15:24;Air;"7,8"
06.06.2023 15:29;Air;"7,8"
06.06.2023 15:34;Air;"7,7"
06.06.2023 15:39;Air;"7,7"
06.06.2023 15:44;Air;"7,8"
06.06.2023 15:49;Air;"7,9"
06.06.2023 15:54;Air;8
06.06.2023 15:59;Air;8
06.06.2023 16:04;Air;"8,1"
06.06.2023 16:09;Air;"8,1"
06.06.2023 16:14;Air;"8,1"
06.06.2023 16:19;Air;8
06.06.2023 16:24;Air;8
06.06.2023 16:29;Air;"7,9"
06.06.2023 16:34;Air;"7,9"
06.06.2023 16:39;Air;"7,8"
06.06.2023 16:44;Air;"7,8"
06.06.2023 16:49;Air;"7,8"
06.06.2023 16:54;Air;"7,8"
06.06.2023 16:59;Air;"7,9"
06.06.2023 17:04;Air;"7,8"
06.06.2023 17:09;Air;"7,9"
06.06.2023 17:14;Air;"7,9"
06.06.2023 17:19;Air;"7,9"
06.06.2023 17:24;Air;"7,9"
06.06.2023 17:29;Air;"7,9"
06.06.2023 17:34;Air;8
06.06.2023 17:39;Air;"8,1"
06.06.2023 17:44;Air;"8,1"
06.06.2023 17:49;Air;8
06.06.2023 17:54;Air;8
06.06.2023 17:59;Air;8
06.06.2023 18:04;Air;8
06.06.2023 18:09;Air;8
06.06.2023 18:14;Air;8
06.06.2023 18:19;Air;"8,1"
06.06.2023 18:24;Air;"8,1"
06.06.2023 18:29;Air;"8,1"
06.06.2023 18:34;Air;8
06.06.2023 18:39;Air;"7,9"
06.06.2023 18:44;Air;"7,9"
06.06.2023 18:49;Air;8
06.06.2023 18:54;Air;"8,1"
06.06.2023 18:59;Air;"8,1"
06.06.2023 19:04;Air;"8,1"
06.06.2023 19:09;Air;8
06.06.2023 19:14;Air;"7,9"
06.06.2023 19:19;Air;"7,9"
06.06.2023 19:24;Air;"7,8"
06.06.2023 19:29;Air;"7,8"
06.06.2023 19:34;Air;"7,8"
06.06.2023 19:39;Air;"7,8"
06.06.2023 19:44;Air;"7,8"
06.06.2023 19:49;Air;"7,9"
06.06.2023 19:54;Air;"7,9"
06.06.2023 19:59;Air;"8,1"
06.06.2023 20:04;Air;"8,3"
06.06.2023 20:09;Air;"8,5"
06.06.2023 20:14;Air;"8,6"
06.06.2023 20:19;Air;"8,6"
06.06.2023 20:24;Air;"8,5"
06.06.2023 20:29;Air;"8,9"
06.06.2023 20:34;Air;"9,2"
06.06.2023 20:39;Air;"9,4"
06.06.2023 20:44;Air;"9,5"
06.06.2023 20:49;Air;"9,7"
06.06.2023 20:54;Air;"9,7"
06.06.2023 20:59;Air;"9,7"
06.06.2023 21:04;Air;"9,9"
06.06.2023 21:09;Air;"10,3"
06.06.2023 21:14;Air;"10,7"
06.06.2023 21:19;Air;11
06.06.2023 21:24;Air;"10,8"
06.06.2023 21:29;Air;"10,6"
06.06.2023 21:34;Air;"10,4"
06.06.2023 21:39;Air;"10,3"
06.06.2023 21:44;Air;"10,1"
06.06.2023 21:49;Air;"9,9"
06.06.2023 21:54;Air;"9,7"
06.06.2023 21:59;Air;"9,5"
06.06.2023 22:04;Air;"9,4"
06.06.2023 22:09;Air;"9,2"
06.06.2023 22:14;Air;"9,2"
06.06.2023 22:19;Air;9
06.06.2023 22:24;Air;9
06.06.2023 22:29;Air;"8,8"
06.06.2023 22:34;Air;"8,6"
06.06.2023 22:39;Air;"8,3"
06.06.2023 22:44;Air;"8,2"
06.06.2023 22:49;Air;"7,9"
06.06.2023 22:54;Air;"7,7"
